bank,series,count,url
AC Schnitzer,AC Schnitzer M3,1,https://car.autohome.com.cn/price/series-3895.html
AC Schnitzer,AC Schnitzer X5,1,https://car.autohome.com.cn/price/series-2097.html
ALPINA,ALPINA B4,1,https://car.autohome.com.cn/price/series-4212.html
阿尔法·罗密欧,Giulia,10,https://car.autohome.com.cn/price/series-3825.html
阿尔法·罗密欧,Stelvio,4,https://car.autohome.com.cn/price/series-4196.html
阿尔法·罗密欧,ALFA 156 (停售),1,https://car.autohome.com.cn/price/series-179.html
阿尔法·罗密欧,ALFA GT (停售),1,https://car.autohome.com.cn/price/series-401.html
阿斯顿·马�?Rapide,9,https://car.autohome.com.cn/price/series-923.html,
阿斯顿·马�?V8 Vantage,17,https://car.autohome.com.cn/price/series-385.html,
阿斯顿·马�?V12 Vantage,6,https://car.autohome.com.cn/price/series-822.html,
阿斯顿·马�?阿斯顿·马丁DB9,16,https://car.autohome.com.cn/price/series-266.html,
阿斯顿·马�?Vanquish,7,https://car.autohome.com.cn/price/series-386.html,
阿斯顿·马�?阿斯顿·马丁DB11,10,https://car.autohome.com.cn/price/series-3891.html,
阿斯顿·马�?阿斯顿·马丁DBS,5,https://car.autohome.com.cn/price/series-582.html,
阿斯顿·马�?Virage,2,https://car.autohome.com.cn/price/series-2275.html,
阿斯顿·马�?拉共达Taraf (停售),1,https://car.autohome.com.cn/price/series-884.html,
阿斯顿·马�?V12 Zagato (停售),1,https://car.autohome.com.cn/price/series-2846.html,
奥迪,奥迪A3,80,https://car.autohome.com.cn/price/series-3170.html
奥迪,奥迪A4L,93,https://car.autohome.com.cn/price/series-692.html
奥迪,奥迪A6L,108,https://car.autohome.com.cn/price/series-18.html
奥迪,奥迪A6L新能�?1,https://car.autohome.com.cn/price/series-4526.html,
奥迪,奥迪Q2L,5,https://car.autohome.com.cn/price/series-4871.html
奥迪,奥迪Q3,53,https://car.autohome.com.cn/price/series-2951.html
奥迪,奥迪Q5L,6,https://car.autohome.com.cn/price/series-4851.html
奥迪,奥迪Q5,46,https://car.autohome.com.cn/price/series-812.html
奥迪,奥迪A4 (停售),45,https://car.autohome.com.cn/price/series-19.html
奥迪,奥迪A6 (停售),12,https://car.autohome.com.cn/price/series-509.html
奥迪,奥迪RS 4,1,https://car.autohome.com.cn/price/series-2733.html
奥迪,奥迪RS 3,1,https://car.autohome.com.cn/price/series-2731.html
奥迪,奥迪RS 6,2,https://car.autohome.com.cn/price/series-2737.html
奥迪,奥迪RS 7,3,https://car.autohome.com.cn/price/series-2994.html
奥迪,奥迪R8,12,https://car.autohome.com.cn/price/series-511.html
